Hospital_Name,Hospital_Type,Hospital_Category,State,District,Pincode,Specialties,Facilities,Address_Original_First_Line,Telephone
Chakraborty Multi Speciality Hospital,Private,0,Andaman and Nicobar Islands,South Andaman,744101,0,0,Near Dollygunj Junction,03192 251971
Inhs Dhanvantri,Government,0,Andaman and Nicobar Islands,South Andaman,744101,0,0,Medical Board Office,0
Maricar Hospital,Private,0,Andaman and Nicobar Islands,South Andaman,744103,0,0,Near Masjid,03192 233434
Pillar Health Centre,Clinic,0,Andaman and Nicobar Islands,South Andaman,744103,0,0,"Lamba Line, P.B. No. 526",03192 233193
"G B Pant Hospital, Port Blair",Government,Public/ Government,Andaman and Nicobar Islands,South Andaman,744103,"Surgery, Medicine, Gynaecology, Pediatrics, ENT, Pathology and Ophthalmology",,"GB Pant Road, City Centre, Port Blair","03192 233665, 03192 246058, 03192 233455, 03192 230858"
"Care Hospital, Banjara",Private,Private,Andhra Pradesh,Hyderabad,500034,"Anaesthesiology, Bio-Chemistry, Cardiac Yoga,\nCardiology\nCardiothoracic Surgery, Chest Physician, Critical Care, Dentistry and Maxillofacial Surgery, Dermatology, Diabetology, Dietetics, Emergency Medicine,\n Endocrinology, Endoscopy, Gastroenterology,\n Gastrointestinal Medicine,\n General Medicine,\n General Surgery,\n Geriatrics, Gynaecology,\n haematology, Hepatology,\n Internal Medicine,\n Interventional Radiology,\n Laboratory Medicine,\n Laparoscopic Surgery,\n Medical Oncology,\n Micro-Biology, Nephrology,\n Neuro Surgery, Neurology,\n Nuclear Medicine,\n Obstetrics and Gynaecology,\n Ophthalmology,\n Orthopedics and Traumatology,\nOtorhinolaryngology\n Pathology, Pediatric, Cardiology,\n Pediatric Surgery, Pediatric,\n Pediatric and Neonatology,\n Physiotherapy, Plastic Surgery and Cosmetic Surgery, Preventive, Medicine / Wellness, Psychiatry,\n Pulmonology, Radio-Diagnosis,\n Radiology, Respiratory, Medicine, Rheumatology, Sports Medicine\n Surgical Gastroenterology\n Surgical Oncology, Urology\n Vascular Surgery","Ambulance, Blood Bank,\nCasualty, Diagnostic, Services,\nDialysis Unit, Electrotherapy,\nEmergency Room, Exercise therapy,\nHome Health, Care Services\nLifestyle Clinic - A Preventive Medicine Centre, Pharmacy","Road No.1, Banjara Hills","040 30418888, 040 66668888, 040 23234444"
Aasha Hospitals,Private,0,Andhra Pradesh,Anantapur,515001,0,0,"7/201, Court Road",08554    274194
Abhaya Kidney Care Multispeciality Hospital,Private,0,Andhra Pradesh,Anantapur,515001,0,0,"10-470, Adimurthy Nagar, Opposite Guild Off Service School",277444
Baby Hospital,Private,0,Andhra Pradesh,Anantapur,515001,0,0,"Hyma Test Tube Baby and Research Centre, Baby Hospital Complex",0
Dr Akbar Eye Hospital And Laser Centre,Private,0,Andhra Pradesh,Anantapur,515001,0,0,"12-3-234, 6Th Cross Sai Nagar",08554    235009
