Code,Disease Name,Avg Price (INR),Claim Count,Fraud Rate
7384,Acq spondylolisthesis,23074.08,49,51.02
73028,Osteomyelit NOS-oth site,20402.0,15,66.67
73739,Scoliosis NEC,20337.27,11,45.45
41011,"AMI anterior wall, init",19403.03,89,61.8
53150,Chr stomach ulcer w perf,18821.82,11,72.73
85221,Subdural hem w/o coma,17923.73,59,64.41
51881,Acute respiratry failure,17635.41,482,58.3
4241,Aortic valve disorder,16800.63,206,47.09
41021,"AMI inferolateral, init",16485.24,21,47.62
53210,Ac duodenal ulcer w perf,16130.0,10,60.0
75612,Spondylolisthesis,15895.0,14,42.86
51884,Acute & chronc resp fail,15246.62,231,58.01
0388,Septicemia NEC,14972.04,49,46.94
0389,Septicemia NOS,14872.77,970,57.01
4210,Ac/subac bact endocard,14423.24,37,51.35
4414,Abdom aortic aneurysm,13765.18,166,49.4
41071,"Subendo infarct, initial",13582.57,732,55.6
03842,E coli septicemia,13473.89,131,62.6
99604,Mch cmp autm mplnt dfbrl,13332.42,33,42.42
5185,Diagnosis 5185,13312.64,53,52.83
73710,Kyphosis NOS,12980.67,15,33.33
03812,MRSA septicemia,12975.44,57,50.88
41031,"AMI inferopost, initial",12887.39,23,52.17
0380,Streptococcal septicemia,12864.18,67,52.24
20500,Ac myl leuk wo achv rmsn,12825.67,30,53.33
41041,"AMI inferior wall, init",12732.71,96,53.12
41001,"AMI anterolateral, init",12441.67,30,50.0
44024,Ath ext ntv art gngrene,12434.75,118,65.25
73027,Osteomyelitis NOS-ankle,12416.13,31,51.61
99649,Mech com orth dev NEC,12352.34,64,62.5
99641,Mech loosening pros jt,12228.87,71,38.03
99672,Comp-oth cardiac device,12190.15,65,49.23
99673,Comp-ren dialys dev/grft,12152.59,108,45.37
8024,Fx malar/maxillary-close,12150.91,11,72.73
4239,Pericardial disease NOS,11723.85,39,48.72
8600,Traum pneumothorax-close,11600.0,10,50.0
8208,Fx neck of femur NOS-cl,11561.3,215,52.56
85220,Traumatic subdural hem,11532.76,29,55.17
41091,"AMI NOS, initial",11418.33,72,61.11
03849,Gram-neg septicemia NEC,11332.21,86,50.0
03843,Pseudomonas septicemia,11270.71,28,57.14
V5789,Rehabilitation proc NEC,11235.79,1655,53.05
0382,Pneumococcal septicemia,11120.0,29,34.48
03811,Meth susc Staph aur sept,11115.0,66,57.58
71536,Loc osteoarth NOS-l/leg,10881.33,851,56.99
56081,Intestinal adhes w obstr,10852.28,167,40.12
40391,Hyp kid NOS w cr kid V,10810.84,202,53.96
82021,Intertrochanteric fx-cl,10801.27,347,55.33
19889,Secondary malig neo NEC,10789.63,27,59.26
99666,React-inter joint prost,10745.37,82,50.0
44422,Lower extremity embolism,10676.58,38,44.74
99859,Other postop infection,10672.4,175,56.57
82009,Fx femur intrcaps NEC-cl,10598.33,174,57.47
4240,Mitral valve disorder,10546.29,105,40.95
99662,React-oth vasc dev/graft,10540.19,104,49.04
85226,Subdural hemorr-coma NOS,10539.17,12,66.67
99667,React-oth int ortho dev,10529.68,31,64.52
5070,Food/vomit pneumonitis,10460.18,501,56.69
41401,Crnry athrscl natve vssl,10413.34,1627,52.67
5400,Ac append w peritonitis,10336.36,22,68.18
73017,Chr osteomyelit-ankle,10303.64,11,63.64
73313,Path fx vertebrae,10003.74,115,55.65
00845,Int inf clstrdium dfcile,9925.51,205,52.2
99674,Comp-oth vasc dev/graft,9912.25,80,57.5
3314,Obstructiv hydrocephalus,9855.56,27,66.67
8052,Fx dorsal vertebra-close,9651.54,65,56.92
99642,Dislocate prosthetic jt,9393.26,86,54.65
99762,Infection amputat stump,9277.87,47,44.68
20510,Ch myl leuk wo achv rmsn,9145.56,18,38.89
82101,Fx femur shaft-closed,9120.62,32,46.88
1985,Secondary malig neo bone,9097.01,77,48.05
57400,Cholelith w ac cholecyst,8955.1,143,54.55
99643,Broke prosthtc jt implnt,8897.78,45,35.56
57410,Cholelith w cholecys NEC,8836.17,107,51.4
4260,Atriovent block complete,8763.1,126,46.83
8670,Bladder/urethra inj-clos,8750.0,12,83.33
99811,Hemorrhage complic proc,8747.55,53,58.49
96509,Poisoning-opiates NEC,8701.48,27,66.67
99647,Mech com pros jt implant,8689.49,39,38.46
5691,Rectal prolapse,8631.16,43,39.53
5961,Intestinovesical fistula,8544.8,25,36.0
5712,Alcohol cirrhosis liver,8478.0,45,55.56
431,Intracerebral hemorrhage,8474.2,193,47.15
3962,Mitral insuf/aort stenos,8464.02,92,53.26
5409,Acute appendicitis NOS,8440.83,36,50.0
99661,React-cardiac dev/graft,8359.42,52,32.69
1983,Sec mal neo brain/spine,8356.78,87,44.83
99646,Articular wear prosth jt,8264.0,25,44.0
82022,Subtrochanteric fx-close,8188.95,76,56.58
71106,Pyogen arthritis-l/leg,8183.33,12,66.67
03819,Staphylcocc septicem NEC,8096.92,26,46.15
51883,Chronic respiratory fail,8085.76,33,45.45
7907,Bacteremia,8078.91,46,50.0
9694,Pois-benzodiazepine tran,8058.62,29,58.62
71535,Loc osteoarth NOS-pelvis,8044.11,428,51.64
99677,Comp-internal joint pros,7988.04,46,36.96
1970,Secondary malig neo lung,7981.06,66,45.45
55221,Obstr incisional hernia,7964.74,57,64.91
99709,Surg comp nerv systm NEC,7942.11,19,57.89
9972,Surg comp-peri vasc syst,7845.94,32,56.25
8054,Fx lumbar vertebra-close,7771.15,87,52.87
99644,Periprosthetc fx-pros jt,7765.9,39,46.15
20288,Lymphomas NEC mult,7684.78,23,39.13
41402,Crn ath atlg vn bps grft,7649.65,86,58.14
99931,Oth/uns inf-cen ven cath,7637.31,93,41.94
71596,Osteoarthros NOS-l/leg,7630.81,384,48.96
1975,Sec malig neo lg bowel,7624.8,25,48.0
85200,Traum subarachnoid hem,7616.67,12,33.33
1977,Second malig neo liver,7568.62,80,57.5
73314,Path fx neck of femur,7518.0,35,45.71
99671,Comp-heart valve prosth,7490.3,33,48.48
2113,Benign neoplasm lg bowel,7448.85,96,42.71
20280,Oth lymp unsp xtrndl org,7407.56,45,42.22
0383,Anaerobic septicemia,7406.52,23,52.17
43491,Crbl art ocl NOS w infrc,7353.66,696,54.45
1912,Mal neo temporal lobe,7267.06,17,35.29
73005,Ac osteomyelitis-pelvis,7265.0,10,60.0
4412,Thoracic aortic aneurysm,7240.67,60,40.0
486,"Pneumonia, organism NOS",7194.69,1566,56.58
3315,Norml pressure hydroceph,7169.12,34,55.88
48242,Meth res pneu d/t Staph,7148.67,90,48.89
5770,Acute pancreatitis,7105.1,302,47.35
03840,Gram-neg septicemia NOS,7046.25,32,43.75
99669,React-int pros devic NEC,7019.02,51,37.25
5789,Gastrointest hemorr NOS,7002.68,321,52.96
5401,Abscess of appendix,6947.83,23,56.52
9971,Surg compl-heart,6946.67,39,30.77
4821,Pseudomonal pneumonia,6915.62,73,47.95
8244,Fx bimalleolar-closed,6904.47,47,40.43
5750,Acute cholecystitis,6870.33,60,43.33
51181,Malignant pleural effusn,6867.6,50,54.0
43411,Crbl emblsm w infrct,6808.43,191,53.4
80704,Fracture four ribs-close,6783.81,21,47.62
99664,React-indwell urin cath,6749.9,96,50.0
20040,Mantle cell lym xtrrndl,6717.0,10,30.0
20502,Act myel leuk in relapse,6715.88,17,47.06
5849,Acute kidney failure NOS,6698.38,864,52.08
9975,Surg compl-urinary tract,6647.27,33,51.52
1976,Sec mal neo peritoneum,6644.36,55,36.36
56722,Peritoneal abscess,6618.18,11,9.09
03810,Staphylcocc septicem NOS,6581.25,24,54.17
5602,Volvulus of intestine,6578.48,46,32.61
57480,Gal&bil cal w/ac&chr w/o,6534.89,47,53.19
29570,Schizoaffective dis NOS,6529.44,231,52.81
5679,Peritonitis NOS,6520.0,10,30.0
96500,Poisoning-opium NOS,6506.67,15,46.67
1974,Sec malig neo sm bowel,6443.64,22,31.82
1589,Mal neo peritoneum NOS,6435.45,11,54.55
1610,Malignant neo glottis,6413.57,14,50.0
1540,Mal neo rectosigmoid jct,6411.82,66,42.42
9961,Malfunc vasc device/graf,6407.35,49,53.06
481,Pneumococcal pneumonia,6311.25,72,38.89
430,Subarachnoid hemorrhage,6295.92,98,42.86
82123,Supracondyl fx femur-cl,6286.57,35,42.86
41519,Pulm embol/infarct NEC,6271.33,354,52.54
