diagnosis_code,avg_price,median_price,std_price,min_price,max_price,claim_count,fraud_rate
0030,5846.0,5000.0,6310.0,10,19000,10,0.8
0031,1950.62,1050.0,2630.96,10,8000,16,0.625
00322,166.43,60.0,218.6,10,800,42,0.35714285714285715
00845,9925.51,8000.0,8094.0,0,57000,205,0.5219512195121951
0088,4359.3,4000.0,2255.17,0,11000,71,0.5915492957746479
0090,4644.71,5000.0,4165.82,20,17000,17,0.6470588235294118
0092,2288.67,500.0,2603.52,0,7000,15,0.6666666666666666
0201,118.4,70.0,136.02,0,700,75,0.28
0203,150.0,75.0,173.95,0,700,28,0.35714285714285715
0204,303.03,70.0,493.83,0,2500,33,0.3939393939393939
0205,169.0,60.0,290.07,0,1500,40,0.275
0210,166.56,95.0,224.97,0,1400,64,0.34375
0212,134.89,80.0,184.83,0,1000,45,0.26666666666666666
0220,158.83,80.0,220.47,0,1200,77,0.45454545454545453
0221,216.67,75.0,434.13,20,2400,30,0.43333333333333335
0223,347.33,60.0,632.3,0,2300,15,0.4
0310,1320.8,100.0,3788.9,0,19000,50,0.42
0311,168.12,70.0,323.11,0,2400,80,0.4
0320,134.56,60.0,343.85,0,3300,103,0.36893203883495146
0321,92.53,60.0,85.54,0,400,99,0.31313131313131315
0322,110.6,70.0,289.49,0,3300,133,0.3533834586466165
0323,115.19,70.0,321.55,0,3300,106,0.37735849056603776
03282,91.82,60.0,139.92,10,500,11,0.36363636363636365
03284,139.97,40.0,315.31,0,2900,315,0.38095238095238093
03285,189.72,100.0,398.56,0,3300,72,0.3611111111111111
0340,230.58,75.0,671.93,0,5000,104,0.3557692307692308
035,163.97,70.0,409.16,0,3300,73,0.4657534246575342
0362,1084.29,300.0,2126.28,0,8000,14,0.2857142857142857
03640,516.47,100.0,892.01,10,3300,17,0.4117647058823529
03641,281.0,65.0,549.76,10,1800,10,0.2
03643,552.0,250.0,986.55,10,3300,10,0.2
0380,12864.18,10000.0,13452.84,20,57000,67,0.5223880597014925
03810,6581.25,700.0,12035.87,0,57000,24,0.5416666666666666
